banco,ticker,año,precio_accion_medio_anual,precio_accion_cierre_anual,precio_accion_primer_dia_negociacion,volatilidad_anual,rentabilidad_anual_accion
Banco Sabadell,SAB.MC,2011,1.0001137309964994,1.0519297122955322,1.0205620527267456,0.30995222809492573,0.030735671079458876
Banco Sabadell,SAB.MC,2012,0.8329429179430008,0.88200443983078,1.0655537843704224,0.431448194443103,-0.17225723115242994
Banco Sabadell,SAB.MC,2013,0.7947840382071102,0.9273994565010071,0.8998680710792542,0.370918544853592,0.03059491308401824
Banco Sabadell,SAB.MC,2014,1.1465607975043504,1.0929784774780273,0.8980512619018555,0.33048448522205276,0.21705577826744896
Banco Sabadell,SAB.MC,2015,1.212585408706218,1.0091115236282349,1.1435381174087524,0.39045733054246157,-0.11755322514751593
Banco Sabadell,SAB.MC,2016,0.8748101123576034,0.8655329346656799,1.0084939002990723,0.44577077042606805,-0.1417568966862336
Banco Sabadell,SAB.MC,2017,1.1175067349976184,1.11674964427948,0.8766546845436096,0.28587347632582977,0.27387632093800407
Banco Sabadell,SAB.MC,2018,1.01232281468046,0.7090983390808105,1.132934331893921,0.26926492608928243,-0.37410464215042877
Banco Sabadell,SAB.MC,2019,0.6787972715683281,0.7704402804374695,0.7094522714614868,0.3689271454063744,0.08596492171396684
Banco Sabadell,SAB.MC,2020,0.34117700768352016,0.27392739057540894,0.7919238209724426,0.7623520502398066,-0.6540988118793549
Banco Sabadell,SAB.MC,2021,0.4313902778085321,0.457938551902771,0.26912975311279297,0.4210276173953206,0.701553048691899
Banco Sabadell,SAB.MC,2022,0.5983733721512301,0.7239689230918884,0.462736040353775,0.4658983508379891,0.5645397374675925
Banco Sabadell,SAB.MC,2023,0.9111393316119325,0.9592810273170471,0.7450107336044312,0.3699349374086739,0.28760698879592833
Banco Sabadell,SAB.MC,2024,1.4888587417080998,1.7203528881072998,0.9885850548744202,0.2969655854050282,0.7402173739373756
Banco Sabadell,SAB.MC,2025,2.759448560204093,3.375,1.7052298784255981,0.3033544649118391,0.9792052923187485
Bankinter,BKT.MC,2007,1.1094019057703952,1.16544771194458,1.0545053482055664,1.2050702052223297,0.1052079668707251
Bankinter,BKT.MC,2008,0.8221110908065256,0.6274912357330322,1.1617342233657837,0.5112929711872358,-0.4598667895699408
Bankinter,BKT.MC,2009,0.8853422900823158,0.8406307101249695,0.661961555480957,0.38820794318617324,0.2699086573301043
Bankinter,BKT.MC,2010,0.6849977364763618,0.5568373799324036,0.885470986366272,0.4269323564581089,-0.3711398922086537
Bankinter,BKT.MC,2011,0.6246316504849534,0.6865760087966919,0.5657124519348145,0.7746676676830311,0.21364839407106462
Bankinter,BKT.MC,2012,0.5231014251476154,0.4960854947566986,0.6995849013328552,0.460786021540381,-0.290885932770201
Bankinter,BKT.MC,2013,1.1971255954574136,1.9267590045928955,0.5387424826622009,0.5827026349459334,2.5764007231651718
Bankinter,BKT.MC,2014,2.3948800633935368,2.6516401767730713,1.9294641017913818,0.30533341635451144,0.37428842252685396
Bankinter,BKT.MC,2015,2.728686634451151,2.7141904830932617,2.7402782440185547,0.26467265639695947,-0.009520113872464233
Bankinter,BKT.MC,2016,2.734311144639546,3.1898884773254395,2.6818385124206543,0.27382868092453494,0.1894409236618107
Bankinter,BKT.MC,2017,3.4858598101372813,3.5808305740356445,3.207657814025879,0.16575115716322578,0.11633808269012416
Bankinter,BKT.MC,2018,3.7882508705920124,3.3439266681671143,3.60302996635437,0.20974957389725826,-0.07191261260849924
Bankinter,BKT.MC,2019,3.1466859336942434,3.318312168121338,3.325819730758667,0.25640199952895604,-0.0022573570563358585
Bankinter,BKT.MC,2020,2.2951790372685235,2.3403306007385254,3.407721519470215,0.540483923166605,-0.3132271556326095
Bankinter,BKT.MC,2021,3.303704261779785,3.4838314056396484,2.2980101108551025,0.2974154016127133,0.5160209213976413
Bankinter,BKT.MC,2022,4.339767921759461,5.081936836242676,3.5255539417266846,0.37589391986725257,0.44145768870401486
Bankinter,BKT.MC,2023,4.982598570281384,5.091765880584717,5.180851936340332,0.2772124810722774,-0.017195252219183114
Bankinter,BKT.MC,2024,6.5198136530816555,7.199385643005371,5.2428669929504395,0.240441099261873,0.3731772430400518
Bankinter,BKT.MC,2025,11.015017192194781,14.07022762298584,7.131537914276123,0.2648550774102915,0.972958398611279
